thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,3,Main,5,0.7313622000001487,up,1,90,up,0.29285714285714287,conf,0.6599999999999999,0.8256493000008049,4.75050902694504,2.0730111923598105,0,22,M,R,
,,3,Main,6,0.6652261999988696,up,1,90,up,0.2726530612244898,conf,0.56,1.0012353000020084,2.9389499431315578,2.17386776247844,0,22,M,R,
,,3,Main,7,1.0123171999985061,down,1,270,down,0.333265306122449,control,0.17999999999999994,1.2474123000029067,4.659238102869011,3.5862396150744287,0,22,M,R,
,,3,Main,8,0.7014698999992106,up,1,90,up,0.19183673469387755,control,0.19999999999999996,1.251784600000974,2.0761818452969094,3.5235922001124553,0,22,M,R,
,,3,Main,9,0.664128399999754,down,1,270,down,0.3130612244897959,conf,0.1399999999999999,0.866571099999419,3.6951164348456222,3.33648723603053,0,22,M,R,
,,3,Main,10,1.2675564999990456,up,0,270,down,0.1716326530612245,conf,0.0,0.7483042999992904,4.232083603460754,2.7445310552888746,0,22,M,R,
,,3,Main,11,0.9924879000027431,up,1,90,up,0.23224489795918368,conf,0.1200000000000001,0.8626814000017475,4.393415717427291,2.9424788774593784,0,22,M,R,
,,3,Main,12,0.8776440000001458,up,1,90,up,0.333265306122449,conf,0.3600000000000001,2.1149045000020124,4.97719125676924,3.5019139113066755,0,22,M,R,
,,3,Main,13,0.7491977999998198,up,0,270,down,0.2726530612244898,control,0.0,1.0860181999996712,2.4753386435127407,3.486338176773258,0,22,M,R,
,,3,Main,14,0.7173168000008445,up,0,270,down,0.333265306122449,conf,0.0,0.8118631999968784,3.9511660794299788,1.997985303905167,0,22,M,R,
,,3,Main,15,0.6556775999997626,up,1,90,up,0.3736734693877551,conf,0.3600000000000001,1.7138636999989103,2.2033432438352585,1.6088899192965154,0,22,M,R,
,,3,Main,16,0.8733887999987928,up,0,270,down,0.29285714285714287,control,0.17999999999999994,0.9191016000004311,3.9822306134645995,1.9184009721504247,0,22,M,R,
,,3,Main,17,0.6509447999997064,up,1,90,up,0.4342857142857143,control,0.41999999999999993,1.0584357000007003,4.453413349897181,2.223333083640417,0,22,M,R,
,,3,Main,18,0.8958151000006183,up,1,90,up,0.4746938775510204,conf,0.7,1.9137300000002142,2.35909900310411,2.6617024894462746,0,22,M,R,
,,3,Main,19,0.6420152000027883,down,1,270,down,0.3736734693877551,conf,0.48,1.0263791000033962,2.877091874480735,1.7543901949290628,0,22,M,R,
,,3,Main,20,0.7803372999987914,down,1,270,down,0.4746938775510204,conf,0.41999999999999993,1.2346139999972365,2.238008223588631,1.3808587708612534,0,22,M,R,
,,3,Main,21,0.9213950000012119,down,1,270,down,0.39387755102040817,conf,0.3600000000000001,2.1109333999993396,2.871555980166512,1.4710631378713481,0,22,M,R,
,,3,Main,22,0.6636696999994456,up,1,90,up,0.45448979591836736,conf,0.5800000000000001,0.9119326000000001,4.031043126908325,3.5350958731210804,0,22,M,R,
,,3,Main,23,0.9687166999974579,up,1,90,up,0.45448979591836736,conf,0.6200000000000001,1.0837003999986337,2.910773662380045,3.2851817679156596,0,22,M,R,
,,3,Main,24,0.6201430000000983,down,1,270,down,0.35346938775510206,conf,0.5,1.2293505999987246,1.9013210907500184,3.204500750538868,0,22,M,R,
,,3,Main,25,0.6503529000001436,up,1,90,up,0.35346938775510206,control,0.32000000000000006,1.0203667000023415,3.908649119906397,2.321075296646217,0,22,M,R,
,,3,Main,26,0.7012207999978273,up,1,90,up,0.39387755102040817,conf,0.43999999999999995,1.3946656999978586,3.302884421346942,2.603218753724619,0,22,M,R,
,,3,Main,27,0.6486661000017193,up,1,90,up,0.39387755102040817,conf,0.5800000000000001,1.41821279999931,4.042821837705953,1.3236967837475695,0,22,M,R,
,,3,Main,28,0.7295070999971358,down,1,270,down,0.3130612244897959,conf,0.32000000000000006,1.3361927999976615,2.15515505875974,3.1712606506914103,0,22,M,R,
,,3,Main,29,0.849343099998805,down,1,270,down,0.2524489795918367,conf,0.0,0.38802250000298955,3.2553177231807973,2.352675313194462,0,22,M,R,
,,3,Main,30,0.8982350000005681,down,1,270,down,0.23224489795918368,conf,-0.14,0.9187644000012369,4.62481533056088,2.1810566130985887,0,22,M,R,
,,3,Main,31,1.4209172000009858,up,1,90,up,0.29285714285714287,conf,0.1200000000000001,1.1344795000004524,3.1465525743238563,3.632045810333156,0,22,M,R,
,,3,Main,32,0.655163999999786,up,1,90,up,0.29285714285714287,control,-0.7,2.0460915000003297,4.188596615750814,2.674317681999951,0,22,M,R,
,,3,Main,33,0.7982305000004999,down,1,270,down,0.2524489795918367,conf,-0.18000000000000005,1.668722100002924,4.39248504727966,3.4884451670654224,0,22,M,R,
,,3,Main,34,0.6319692999968538,up,1,90,up,0.29285714285714287,conf,0.6399999999999999,1.0066277000005357,4.7211988891059455,3.067136232447857,0,22,M,R,
,,3,Main,35,0.6216075000011188,up,1,90,up,0.29285714285714287,conf,0.8999999999999999,1.3926337999982934,1.6217759799317384,2.460352546071629,0,22,M,R,
,,3,Main,36,0.6285408000003372,down,1,270,down,0.2726530612244898,conf,0.3999999999999999,1.2304338999965694,3.743370048362505,1.2124502608418868,0,22,M,R,
,,3,Main,37,0.7898922999993374,down,1,270,down,0.2120408163265306,conf,0.17999999999999994,1.0316579999998794,1.6844414845845936,1.9928666491115168,0,22,M,R,
,,3,Main,38,0.8929722000029869,up,1,90,up,0.23224489795918368,conf,0.3999999999999999,1.2942425000001094,3.759269273643174,3.9542747314716293,0,22,M,R,
,,3,Main,39,0.5821603999975196,up,1,90,up,0.2726530612244898,conf,0.8200000000000001,0.855019300001004,3.3060398042742745,2.8911273432821054,0,22,M,R,
,,3,Main,40,0.6804257000003417,down,1,270,down,0.2524489795918367,conf,0.19999999999999996,1.2907677000002877,4.03340564310983,2.774786922094589,0,22,M,R,
,,3,Main,41,0.9959267999984149,down,0,90,up,0.2120408163265306,conf,0.0,0.35927499999888823,3.1651461954451117,2.2860253533882435,0,22,M,R,
,,3,Main,42,0.6664911000007123,down,1,270,down,0.1716326530612245,conf,0.15999999999999992,0.9854107999999542,4.311251290307821,2.6253324167096554,0,22,M,R,
